"","EE_50.300","EE_50.330","EE_50.360","EE_50.390","EE_50.420","EE_50.450","YA","AdultSPE9"
"K01D12.14",0.568223802606852,0.490962325890816,1.47624687418479,0.921236746726662,0.510591326851918,0.32481981820968,2.74036634315544,1.10910643546425
"K01D12.13",3.58259213015039,3.31501547824473,3.68516646816488,3.98055547095079,3.58851676669391,3.20406244344158,3.4858775989411,2.26498973532471
"K01D12.12",5.4551693783667,5.40604679997097,4.93923128011638,5.34876355735597,5.71211700357249,5.86533983927065,5.75994143049906,5.29932159752585
"C54D10.1",2.37196582641681,2.10471573684429,1.04264433740849,2.3252626346357,2.24962130577459,2.65945651969994,4.33155474880026,2.9222892035012
"C54D10.2",0,0,0,0,0,0,0.240026066861114,0.0379012879605159
"C54D10.3",0,0,0,0.418182390309292,0,0.279376202415185,6.98679772591642,7.15664942206008
"C54D10.16",0,0,0,0,0,0,8.21992355918194,0
"C54D10.4",0,0,0,0,0,0,2.8212693808885,0.198862481037177
"C54D10.17",0,0,0,0,0,0,0,0
"C54D10.15",0,0,0,0,0,0,0,0
"C54D10.5",0.343252031249553,0.679609359190362,0,0.330300240644721,0,0.895719081238066,0.764975381448509,0.168980849410366
"C54D10.13",3.82955530933159,2.98420287870548,1.9814508341617,3.82010746425213,2.54337462265745,2.83331314265426,2.68141328182544,2.8009620056346
"C54D10.6",3.62263756653746,3.27187234038908,2.06485871451562,3.70431867776083,3.48868209688975,3.76935917948483,0.347325491633802,0.305397413625641
"C54D10.14",0.0590489839308885,0.247610389408322,0,0.156722788023644,0.292067880236073,0.387404453385857,0.705624978628217,0.326089744125288
"C54D10.7",0,0.29470484545336,0,0,0,0.126400420827888,0.823433073846306,0.390028180137237
"C54D10.8",0,0.112635418503059,0,0,0.111709887362649,0.0694800061063523,0.632640475865632,0.120164523831949
"C54D10.9",0.320559771300694,0.354280629345422,0,0,0.425400220735519,0.24582055206904,1.2163244812183,0.127562496795723
"C54D10.10",3.66471037684349,3.6339658733322,1.5456323599014,3.56839698991614,4.14584046237516,4.52829625546787,3.77616717041404,0.940096070792489
"F28C1.12",0,0,0,0,0,0,0,0
"F28C1.1",4.69037239476124,4.75236325047303,4.41055819814258,4.82335704878699,4.61543395416005,4.70251348830715,4.55037740817047,4.19648901774871
"F28C1.2",3.88372833020255,4.05670490385288,3.31346499706535,3.54761022935736,3.89276986577563,4.09793098545931,2.05087777652223,2.19265815230696
"F28C1.13",0,0,0,0,0,0,0,1.49352437177156
"F28C1.10",0,0,0,0,0,0,0,0
"F28C1.14",0,0,0,0,0,0,0,0
"F28C1.3",4.88413876420145,5.36275391110263,5.11604447345404,4.96857464206598,5.39212161516454,5.57201044770249,4.08188496672923,4.33889501460436
"W04D2.13",0,0,0,0,0,0,0,0
"W04D2.1",4.67691051910783,5.24393560156686,3.98005272764039,4.23693645626848,4.88024961467851,5.36876136603839,6.05184625105677,4.57640120284009
"W04D2.9",0,0,0,0,0,0,0,0
