"","L1","LIN35","L2","L3","L4","L4MALE","YA","AdultSPE9"
"R06A10.2",5.75565406417241,5.49264796258695,6.11678891854308,5.4763946497286,4.89790352558061,5.32319710823933,4.17607538668438,3.85583027468377
"R06A10.1",1.54891004692135,1.9480849731071,1.14158973924133,0.884097726055577,0.882766675694109,1.79707109963103,1.29695070270442,0.590993806373495
"R06A10.5",2.97978568899636e-10,0.217390799949757,0.244856622198231,1.20962803812962,2.99052289457784,4.49915705497576,1.3184151871185,2.31520812593364e-08
"R06A10.4",3.85469387827422,3.75996539113267,3.9711204546447,2.68158194667641,3.59176318080531,2.91968140678437,2.37382636238515,1.6618681476298
"ZK993.1",2.1202291667041,1.27310405860938,2.11945578430581,0.90695984330855,0.770143153678176,0.579926409747871,0.598492888666327,0.571452562061259
"Y48G8AL.9",2.79195781267637,3.38161562484645,3.14288227841934,3.16520448325774,3.77343727794104,2.72137703458782,3.96587661419019,5.09592863839892
"Y48G8AL.10",2.42786894460082,2.47635576289512,2.64897616330239,2.79583758492319,2.53404416642956,2.07513553589494,3.60288440871842,4.8117073501049
"Y48G8AL.14",5.36747590886219,6.57023369674698,5.63857492734193,5.7044763860898,5.99472000455438,5.96127603960943,6.63329751364541,6.73972661315892
"Y48G8AL.8",12.8713354376751,12.6914163898004,12.1755776183601,12.3455632580823,12.9886136862534,11.4593650154112,11.7363215914326,11.4202707977182
"Y48G8AL.7",2.67799075123411,3.5997105532371,2.95868865584734,2.58909950277369,3.55894106113082,2.67239139580646,3.95289264215304,4.64643342514541
"Y48G8AL.11",2.87313400741947,3.13157631498422,3.88670621136873,4.39314158449263,4.20549417373743,3.17875128564207,4.20017474704958,3.58098962414623
"Y48G8AL.6",4.04815770034969,4.08034214588779,4.3019533951261,4.63182021240612,3.87843108406856,3.8033613785719,4.86701674474523,5.41420658328895
"Y48G8AL.5",5.48717117558319,5.05649249004975,4.72623723616529,4.89071905713144,4.66479569377198,3.88288755322496,5.47468263671341,5.52611577363243
"Y48G8AL.1",3.63436093169658,3.47836354528379,3.95861071205585,4.2870067868649,4.00561556740691,4.13642929976835,4.76074788641894,5.16568687702988
"Y48G8AL.16",0,0.574253643222233,6.73179419348666,3.56083721158577,8.39327031724137,5.03942357003147,2.48420259334689,1.93432022887102
"Y48G8AL.12",0,1.585188505241,10.8585871727888,6.70901486490327,12.9654037236564,9.74167595979955,7.08350060194056,7.14108531856233
"Y48G8AL.13",5.95556854478873,6.90687857309975,6.07889585205691,6.17931198921002,6.05625619713798,6.87704481497589,6.10188325149147,6.88920581112055
"Y48G8AL.15",2.98208090976374,3.65647348861088,3.8324849902876,2.9108861319356,3.64022758038813,2.80442120930783,2.71190452983246,3.15455080605149
"Y48G8AR.1",3.602492512398,4.19235200074555,4.79965204380123,4.08967610389003,2.94669343565903,3.87695889606957,1.86812174398449,1.75882762063976
"Y48G8AR.6",4.93623274978635,0,3.92059584942783e-09,0,0,0,0,0
